tipo_inmueble,operacion,precio_mxn,precio_usd,estado_code,estado_nombre,ciudad,colonia,codigo_postal,recamaras,banos,estacionamientos,construccion_m2,terreno_m2,precio_m2,calidad,completitud,fuentes
edificio,venta,79000000.0,4514285.71,CMX,Ciudad de México,Ciudad de México,Letrán Valle,,,,15,3332.0,336.0,23709.48,0.7,0.53,1
departamento,venta,77000000.0,4400000.0,CMX,Ciudad de México,Ciudad de México,Polanco,,3,3.0,4,390.0,390.0,197435.9,0.85,0.68,1
casa,venta,56000000.0,3200000.0,CMX,Ciudad de México,Ciudad de México,Jardines del Pedregal,,,4.0,12,800.0,925.0,70000.0,0.85,0.6,1
departamento,venta,43750000.0,2500000.0,CMX,Ciudad de México,Ciudad de México,Polanco V Sección,,2,2.0,4,370.0,370.0,118243.24,0.85,0.73,1
casa,venta,39500000.0,2257142.86,CMX,Ciudad de México,Ciudad de México,Bosque de las Lomas,,4,4.0,8,1000.0,950.0,39500.0,0.85,0.68,1
casa,venta,33250000.0,1900000.0,CMX,Ciudad de México,Ciudad de México,Lomas de Bezares,,4,4.0,3,500.0,1200.0,66500.0,0.85,0.68,1
departamento,venta,28500000.0,1628571.43,CMX,Ciudad de México,Ciudad de México,Polanco,,3,3.0,3,271.0,271.0,105166.05,0.85,0.68,1
departamento,venta,22000000.0,1257142.86,CMX,Ciudad de México,Ciudad de México,Polanco,,3,3.0,3,354.0,354.0,62146.89,0.85,0.68,1
casa,venta,22000000.0,1257142.86,CMX,Ciudad de México,Ciudad de México,Barrio del Niño Jesús,,4,4.0,3,420.0,560.0,52380.95,0.85,0.68,1
casa,venta,21250000.0,1214285.71,CMX,Ciudad de México,Ciudad de México,Lomas de Chapultepec,,3,4.0,4,,600.0,35416.67,0.85,0.58,1
terreno,venta,17700000.0,1011428.57,CMX,Ciudad de México,Ciudad de México,San Jerónimo Lídice,,,,,,1674.0,10573.48,0.85,0.4,1
casa,venta,17000000.0,971428.57,CMX,Ciudad de México,Ciudad de México,Villa Verdún,,4,4.0,2,326.0,317.0,52147.24,0.85,0.68,1
terreno,venta,17000000.0,971428.57,CMX,Ciudad de México,Ciudad de México,Barrio San Francisco,,,,,,1276.0,13322.88,0.85,0.4,1
departamento,venta,15500000.0,885714.29,CMX,Ciudad de México,Ciudad de México,19 de Mayo,,1,1.0,2,89.0,89.0,174157.3,0.85,0.68,1
departamento,venta,12900000.0,737142.86,CMX,Ciudad de México,Ciudad de México,Santa Fe,,3,4.0,3,247.0,247.0,52226.72,0.85,0.68,1
departamento,venta,12615077.0,720861.54,CMX,Ciudad de México,Ciudad de México,,03100,,,,,,,0.85,0.28,1
casa,venta,11990000.0,685142.86,CMX,Ciudad de México,Ciudad de México,Prado Coapa,,3,2.0,2,370.0,200.0,32405.41,0.85,0.68,1
casa,venta,11200000.0,640000.0,CMX,Ciudad de México,Ciudad de México,Tizampampano,,3,3.0,3,351.0,409.0,31908.83,0.85,0.68,1
departamento,venta,10500000.0,600000.0,CMX,Ciudad de México,Ciudad de México,Roma Norte,,3,,,,140.0,75000.0,0.85,0.48,1
departamento,venta,8900000.0,508571.43,CMX,Ciudad de México,Ciudad de México,Polanco,,3,2.0,1,150.0,150.0,59333.33,0.85,0.68,1
unknown,venta,8200000.0,468571.43,CMX,Ciudad de México,Ciudad de México,Condesa,,1,,,,75.0,109333.33,0.85,0.38,1
departamento,venta,7087806.0,405017.49,CMX,Ciudad de México,Ciudad de México,,03303,,,,,,,0.85,0.28,1
casa,venta,6890000.0,393714.29,CMX,Ciudad de México,Ciudad de México,Reforma Iztaccihuatl Sur,,4,2.0,2,196.0,138.0,35153.06,0.85,0.68,1
departamento,venta,6740000.0,385142.86,CMX,Ciudad de México,Ciudad de México,,03103,,,,,,,0.85,0.28,1
departamento,venta,6570000.0,375428.57,CMX,Ciudad de México,Ciudad de México,Del Valle Sur,,2,2.0,2,83.0,83.0,79156.63,0.85,0.68,1
departamento,venta,6130000.0,350285.71,CMX,Ciudad de México,Ciudad de México,,06700,,,,,,,0.85,0.28,1
departamento,venta,5700000.0,325714.29,CMX,Ciudad de México,Ciudad de México,Del Valle Sur,,1,1.0,1,64.0,64.0,89062.5,0.85,0.68,1
departamento,venta,5337116.0,304978.06,CMX,Ciudad de México,Ciudad de México,,03550,,,,,,,0.85,0.28,1
departamento,venta,5027997.0,287314.11,CMX,Ciudad de México,Ciudad de México,Santa María Nonoalco,,2,2.0,1,70.0,70.0,71828.53,0.85,0.68,1
casa,venta,4950000.0,282857.14,CMX,Ciudad de México,Ciudad de México,Barrio 18,,3,2.0,2,200.0,197.0,24750.0,0.85,0.68,1
departamento,venta,4650000.0,265714.29,CMX,Ciudad de México,Ciudad de México,,06470,,,,,,,0.85,0.28,1
departamento,venta,4300000.0,245714.29,CMX,Ciudad de México,Ciudad de México,,03660,,,,,,,0.85,0.28,1
departamento,venta,4250000.0,242857.14,CMX,Ciudad de México,Ciudad de México,San Rafael,,1,,,,72.0,59027.78,0.85,0.48,1
departamento,venta,4250000.0,242857.14,CMX,Ciudad de México,Ciudad de México,,03000,,,,,,,0.85,0.28,1
departamento,venta,3848000.0,219885.71,CMX,Ciudad de México,Ciudad de México,,03610,,,,,,,0.85,0.28,1
departamento,venta,3842000.0,219542.86,CMX,Ciudad de México,Ciudad de México,,01740,,,,,,,0.85,0.28,1
departamento,venta,3750000.0,214285.71,CMX,Ciudad de México,Ciudad de México,,03023,,,,,,,0.85,0.28,1
departamento,venta,3730000.0,213142.86,CMX,Ciudad de México,Ciudad de México,,08200,,,,,,,0.85,0.28,1
departamento,venta,3703000.0,211600.0,CMX,Ciudad de México,Ciudad de México,,03700,,,,,,,0.85,0.28,1
departamento,venta,3600000.0,205714.29,CMX,Ciudad de México,Ciudad de México,,03400,,,,,,,0.85,0.28,1
departamento,venta,3582000.0,204685.71,CMX,Ciudad de México,Ciudad de México,,03303,,,,,,,0.85,0.28,1
departamento,venta,3529000.0,201657.14,CMX,Ciudad de México,Ciudad de México,,05000,,,,,,,0.85,0.28,1
departamento,venta,3077500.0,175857.14,CMX,Ciudad de México,Ciudad de México,,06720,,,,,,,0.85,0.28,1
departamento,venta,3037000.0,173542.86,CMX,Ciudad de México,Ciudad de México,,08400,,,,,,,0.85,0.28,1
departamento,venta,3026000.0,172914.29,CMX,Ciudad de México,Ciudad de México,,02670,,,,,,,0.85,0.28,1
departamento,venta,2917000.0,166685.71,CMX,Ciudad de México,Ciudad de México,,06010,,,,,,,0.85,0.28,1
departamento,venta,2899000.0,165657.14,CMX,Ciudad de México,Ciudad de México,,03660,,,,,,,0.85,0.28,1
departamento,venta,2780000.0,158857.14,CMX,Ciudad de México,Ciudad de México,,07000,,,,,,,0.85,0.28,1
departamento,venta,2738000.0,156457.14,CMX,Ciudad de México,Ciudad de México,,15750,,,,,,,0.85,0.28,1
casa,venta,2662200.0,152125.71,CMX,Ciudad de México,Ciudad de México,,09010,,,,,,,0.85,0.28,1
departamento,venta,2351100.0,134348.57,CMX,Ciudad de México,Ciudad de México,,08500,,,,,,,0.85,0.28,1
departamento,venta,2320000.0,132571.43,CMX,Ciudad de México,Ciudad de México,,15900,,,,,,,0.85,0.28,1
departamento,venta,2157000.0,123257.14,CMX,Ciudad de México,Ciudad de México,,02020,,,,,,,0.85,0.28,1
departamento,venta,2013000.0,115028.57,CMX,Ciudad de México,Ciudad de México,,13200,,,,,,,0.85,0.28,1
departamento,venta,1917420.0,109566.86,CMX,Ciudad de México,Ciudad de México,,14429,,,,,,,0.85,0.28,1
departamento,venta,1884000.0,107657.14,CMX,Ciudad de México,Ciudad de México,,01480,,,,,,,0.85,0.28,1
departamento,venta,1831000.0,104628.57,CMX,Ciudad de México,Ciudad de México,,08500,,,,,,,0.85,0.28,1
departamento,venta,1797400.0,102708.57,CMX,Ciudad de México,Ciudad de México,,15220,,,,,,,0.85,0.28,1
departamento,venta,1780000.0,101714.29,CMX,Ciudad de México,Ciudad de México,,08100,,,,,,,0.85,0.28,1
departamento,venta,1744200.0,99668.57,CMX,Ciudad de México,Ciudad de México,,07070,,,,,,,0.85,0.28,1
departamento,venta,1686227.0,96355.83,CMX,Ciudad de México,Ciudad de México,Portales Sur,,2,2.0,1,85.0,85.0,19837.96,0.85,0.68,1
departamento,venta,1676000.0,95771.43,CMX,Ciudad de México,Ciudad de México,Del Valle Sur,,3,2.0,2,110.0,110.0,15236.36,0.85,0.68,1
departamento,venta,1595000.0,91142.86,CMX,Ciudad de México,Ciudad de México,,09360,,,,,,,0.85,0.28,1
departamento,venta,1545000.0,88285.71,CMX,Ciudad de México,Ciudad de México,,02720,,,,,,,0.85,0.28,1
departamento,venta,1514000.0,86514.29,CMX,Ciudad de México,Ciudad de México,,07620,,,,,,,0.85,0.28,1
casa,venta,1500228.0,85727.31,CMX,Ciudad de México,Ciudad de México,Anzures,,1,1.0,4,150.0,200.0,10001.52,0.85,0.73,1
departamento,venta,1426545.0,81516.86,CMX,Ciudad de México,Ciudad de México,Ampliación Granada,,3,2.0,2,130.0,130.0,10973.42,0.85,0.68,1
departamento,venta,1413000.0,80742.86,CMX,Ciudad de México,Ciudad de México,,11440,,,,,,,0.85,0.28,1
departamento,venta,1412000.0,80685.71,CMX,Ciudad de México,Ciudad de México,,09860,,,,,,,0.85,0.28,1
departamento,venta,1305600.0,74605.71,CMX,Ciudad de México,Ciudad de México,,09660,,,,,,,0.85,0.28,1
departamento,venta,1270001.0,72571.49,CMX,Ciudad de México,Ciudad de México,,09240,,,,,,,0.85,0.28,1
departamento,venta,1268000.0,72457.14,CMX,Ciudad de México,Ciudad de México,,06300,,,,,,,0.85,0.28,1
departamento,venta,1122000.0,64114.29,CMX,Ciudad de México,Ciudad de México,,07870,,,,,,,0.85,0.28,1
departamento,venta,1099000.0,62800.0,CMX,Ciudad de México,Ciudad de México,,09740,,,,,,,0.85,0.28,1
departamento,venta,1030000.0,58857.14,CMX,Ciudad de México,Ciudad de México,,09830,,,,,,,0.85,0.28,1
departamento,venta,998000.0,57028.57,CMX,Ciudad de México,Ciudad de México,,13219,,,,,,,0.85,0.28,1
departamento,venta,989000.0,56514.29,CMX,Ciudad de México,Ciudad de México,,09750,,,,,,,0.85,0.28,1
local_comercial,renta,699000.0,39942.86,CMX,Ciudad de México,Ciudad de México,Industrial Vallejo,,,,5,,2551.0,,0.85,0.45,1
casa,renta,437500.0,25000.0,CMX,Ciudad de México,Ciudad de México,Lomas de San Ángel,,,,8,,1122.0,,0.85,0.45,1
local_comercial,renta,230000.0,13142.86,CMX,Ciudad de México,Ciudad de México,Florida,,,,3,,400.0,,0.85,0.45,1
local_comercial,renta,190000.0,10857.14,CMX,Ciudad de México,Ciudad de México,Chimalistac,,,,12,,718.0,,0.85,0.45,1
oficina,renta,169200.0,9668.57,CMX,Ciudad de México,Ciudad de México,Florida,,,,10,,360.0,,0.85,0.45,1
oficina,renta,169200.0,9668.57,CMX,Ciudad de México,Ciudad de México,Florida,,,,10,,360.0,,0.85,0.45,1
local_comercial,renta,167000.0,9542.86,CMX,Ciudad de México,Ciudad de México,Arvide,,,,8,,550.0,,0.85,0.45,1
local_comercial,renta,160000.0,9142.86,CMX,Ciudad de México,Ciudad de México,Florida,,,,3,,400.0,,0.85,0.45,1
oficina,renta,148400.0,8480.0,CMX,Ciudad de México,Ciudad de México,Polanco,,,,7,,240.0,,0.85,0.45,1
local_comercial,renta,133000.0,7600.0,CMX,Ciudad de México,Ciudad de México,Florida,,,,5,,,,0.85,0.4,1
departamento,renta,105000.0,6000.0,CMX,Ciudad de México,Ciudad de México,Polanco,,,,2,,210.0,,0.85,0.45,1
local_comercial,renta,100000.0,5714.29,CMX,Ciudad de México,Ciudad de México,Florida,,,,,,400.0,,0.85,0.42,1
local_comercial,renta,88000.0,5028.57,CMX,Ciudad de México,Ciudad de México,Jardines del Pedregal,,,,1,,74.0,1189.19,0.75,0.45,1
departamento,renta,60000.0,3428.57,CMX,Ciudad de México,Ciudad de México,Roma Norte,,,,2,,142.0,,0.85,0.45,1
local_comercial,renta,60000.0,3428.57,CMX,Ciudad de México,Ciudad de México,Florida,,,,,,400.0,,0.85,0.42,1
casa,renta,58000.0,3314.29,CMX,Ciudad de México,Ciudad de México,Lomas de San Ángel,,,,,,290.0,,0.85,0.42,1
