ID,URL,Operacion,Tipo Inmueble,Titulo,Precio,Moneda,Calle y Numero,Colonia,Delegacion/Municipio,Estado,Pais,Recamaras,Baños,Medios Baños,Estacionamientos,Terreno m2,Construccion m2,Niveles,Antiguedad,Fotos,Amenidades,Servicios,Extras,Exteriores,Balcon,Elevador,Bodega,Estado Conservacion,Mantenimiento,Video URL,Tour 360 URL,Codigo Interno
148845403,https://www.inmuebles24.com/propiedades/clasificado/veclcain-renta-o-venta-casa-en-bosques-de-las-lomas-148845403.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=26,venta,casa,Renta o Venta Casa en Bosques de Las Lomas,40000000.0,MXN,,Bosques de las Lomas,Cuajimalpa de Morelos,Ciudad De Mexico,México,3,4,,4,700.0,,,,0,null,null,null,null,,,,,,,,
148614972,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-jardines-del-pedregal-148614972.html?n_src=Listado&n_pills=Alberca&n_pg=1&n_pos=23,venta,casa,Casa en Venta en Jardines del Pedregal,34000000.0,MXN,,Jardines del Pedregal,Alvaro Obregón,Ciudad De Mexico,México,4,5,,5,1252.0,,,,0,null,null,null,null,,,,,,,,
143781560,https://www.inmuebles24.com/propiedades/clasificado/veclcuin-casa-con-uso-de-suelo-en-venta-en-san-jeronimo-lidice-143781560.html?n_src=Listado&n_pills=Jard%C3%ADn+privado&n_pg=1&n_pos=18,venta,casa,Casa con Uso de Suelo en Venta en San Jerónimo Lídice,28487000.0,MXN,,San Jerónimo Lídice,La Magdalena Contreras,Ciudad De Mexico,México,,,,15,1183.0,,,,0,null,null,null,null,,,,,,,,
149361941,https://www.inmuebles24.com/propiedades/clasificado/veclccin-casa-en-condominio-en-venta-en-jardines-del-pedregal-149361941.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=11,venta,casa,Casa en Condominio en Venta en Jardines del Pedregal,27990000.0,MXN,,Jardines del Pedregal,Alvaro Obregón,Ciudad De Mexico,México,3,3,,6,745.0,,,,0,null,null,null,null,,,,,,,,
149174918,https://www.inmuebles24.com/propiedades/clasificado/veclcain-venta-casa-en-san-angel-149174918.html?n_src=Listado&n_pills=Escuelas+cercanas&n_pg=1&n_pos=16,venta,casa,Venta Casa en San Angel,21493000.0,MXN,,San Ángel,Alvaro Obregón,Ciudad De Mexico,México,3,3,,2,243.0,,,,0,null,null,null,null,,,,,,,,
148011592,https://www.inmuebles24.com/propiedades/clasificado/vecltein-terreno-en-colonia-obrera-148011592.html?n_src=Listado&n_pg=1&n_pos=25,venta,terreno,380m² · 4 Estacionamientos · Terreno en Colonia Obrera,18900000.0,MXN,,Obrera,Cuauhtémoc,Ciudad De Mexico,México,,2,,4,380.0,,,,0,null,null,null,null,,,,,,,,
148521813,https://www.inmuebles24.com/propiedades/clasificado/veclcain-ubicadisima-casa-en-bosques-de-las-lomas-148521813.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=24,venta,casa,367m² · 4 Recámaras · 4 Estacionamientos · Ubicadísima Casa en Bosques de Las Lomas,17990000.0,MXN,,Bosques de las Lomas,Cuajimalpa de Morelos,Ciudad De Mexico,México,4,4,,4,679.0,,,,0,null,null,null,null,,,,,,,,
145160955,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-jardines-del-pedregal-145160955.html?n_src=Listado&n_pills=Jard%C3%ADn+privado&n_pg=1&n_pos=4,venta,departamento,Departamento en Venta en Jardines del Pedregal,15900000.0,MXN,,Jardines del Pedregal,Alvaro Obregón,Ciudad De Mexico,México,3,3,,3,380.0,,,,0,null,null,null,null,,,,,,,,
147500942,https://www.inmuebles24.com/propiedades/clasificado/veclapin-oportunidad-departamento-en-venta-en-polanco-147500942.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=17,venta,departamento,154m² · 3 Recámaras · 2 Estacionamientos · Oportunidad Departamento en Venta en Polanco,14800000.0,MXN,,Polanco,Miguel Hidalgo,Ciudad De Mexico,México,3,2,,2,154.0,,,,0,null,null,null,null,,,,,,,,
146853558,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-residencial-san-angel-146853558.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=7,venta,departamento,Departamento en Venta en Residencial San Angel,14500000.0,MXN,,Jardines del Pedregal,Alvaro Obregón,Ciudad De Mexico,México,3,3,,3,222.0,,,,0,null,null,null,null,,,,,,,,
